7zip 24.09-3
jasper 4.2.5-1
java-environment-common 3-6
java-runtime-common 3-6
jbig2dec 0.20-1
jbigkit 2.1-8
jdk-openjdk 24.u36-1
jemalloc 1:5.3.0-5
jfsutils 1.1.15-9
jq 1.7.1-2
js115 115.22.0-1
js128 128.9.0-1
json-c 0.18-1
json-glib 1.10.6-1
jsoncpp 1.9.6-3
jxrlib 0.2.4-2
kactivities5 5.116.0-1
karchive 6.12.0-1
karchive5 5.116.0-1
kauth 6.12.0-1
kauth5 5.116.0-1
kbd 2.7.1-2
kbookmarks 6.12.0-1
kbookmarks5 5.116.0-1
kcachegrind-common 24.12.3-1
kcalendarcore 6.12.0-1
kcalutils 24.12.3-1
kcmutils 6.12.0-1
kcmutils5 5.116.0-1
kcodecs 6.12.0-1
kcodecs5 5.116.0-1
kcolorpicker 0.3.1-4
kcolorscheme 6.12.0-1
kcompletion 6.12.0-1
kcompletion5 5.116.0-1
kconfig 6.12.0-1
kconfig5 5.116.0-1
kconfigwidgets 6.12.0-1
kconfigwidgets5 5.116.0-1
kcontacts 1:6.12.0-1
kcoreaddons 6.12.0-2
kcoreaddons5 5.116.0-1
kcrash 6.12.0-1
kcrash5 5.116.0-1
kdav 1:6.12.0-1
kdbusaddons 6.12.0-1
kdbusaddons5 5.116.0-1
kdeclarative 6.12.0-1
kdeclarative5 5.116.0-1
kded 6.12.0-1
kded5 5.116.0-1
kdeedu-data 24.12.3-1
kdegraphics-mobipocket 24.12.3-1
kdesu 6.12.0-1
kdesu5 5.116.0-1
kdiagram 3.0.1-3
kdnssd 6.12.0-1
kdnssd5 5.116.0-1
kdoctools 6.12.0-1
kdsoap-qt6 2.2.0-1
kdsoap-ws-discovery-client 0.4.0-1
keyutils 1.6.3-3
kfilemetadata 6.12.0-1
kfilemetadata5 5.116.0-2
kglobalaccel 6.12.0-1
kglobalaccel5 5.116.0-1
kguiaddons 6.12.0-2
kguiaddons5 5.116.0-1
khealthcertificate 24.12.3-1
kholidays 1:6.12.0-1
ki18n 6.12.0-1
ki18n5 5.116.0-1
kiconthemes 6.12.0-1
kiconthemes5 5.116.0-1
kidentitymanagement 24.12.3-1
kidletime 6.12.0-1
kimageannotator 0.7.1-3
kimap 24.12.3-1
kinit 5.116.0-1
kio 6.12.0-1
kio-fuse 5.1.0-5
kio5 5.116.0-1
kirigami 6.12.0-1
kirigami-addons 1.7.0-1
kirigami-addons5 0.11.0-7
kirigami2 5.116.0-1
kitemmodels 6.12.0-1
kitemmodels5 5.116.0-1
kitemviews 6.12.0-1
kitemviews5 5.116.0-1
